,startid,startname,startyear,startcount,startlatitude,startlongitude,zipcode
317,310,State St & Smith St,2015,9266,40.68926942,-73.98912867,11201
318,509,9 Ave & W 22 St,2015,28695,40.7454973,-74.00197139,10011
319,279,Peck Slip & Front Street,2015,1,40.707873,-74.00167,10038
320,3047,Halsey St & Tompkins Ave,2015,34,40.6823687,-73.944118,11216
321,2010,Grand St & Greene St,2015,16434,40.72165481,-74.00234737,10012
322,497,E 17 St & Broadway,2015,53017,40.73704984,-73.99009296,10003
323,389,Broadway & Berry St,2015,5125,40.71044554,-73.96525063,11211
324,479,9 Ave & W 45 St,2015,23328,40.76019252,-73.9912551,10036
325,421,Clermont Ave & Park Ave,2015,2924,40.69573398,-73.97129668,11205
326,499,Broadway & W 60 St,2015,42868,40.76915505,-73.98191841,10019
327,150,E 2 St & Avenue C,2015,12430,40.7208736,-73.98085795,10009
328,369,Washington Pl & 6 Ave,2015,14654,40.73224119,-74.00026394,10012
329,83,Atlantic Ave & Fort Greene Pl,2015,6929,40.68382604,-73.97632328,11217
330,522,E 51 St & Lexington Ave,2015,13436,40.75714758,-73.97207836,10154
331,3203,Hamilton Park,2016,15300,40.727595966,-74.044247311,07302
332,3220,5 Corners Library,2015,622,40.734961020009514,-74.0595030784607,07306
333,3199,Newport Pkwy,2015,2323,40.7287448,-74.0321082,07310
334,420,Clermont Ave & Lafayette Ave,2015,3834,40.68764484,-73.96968902,11238
335,430,York St & Jay St,2015,11213,40.7014851,-73.98656928,11201
336,434,9 Ave & W 18 St,2015,20752,40.74317449,-74.00366443,10011
337,476,E 31 St & 3 Ave,2015,22701,40.74394314,-73.97966069,10016
338,343,Clinton Ave & Flushing Ave,2015,2861,40.69794,-73.96986848,11205
339,116,W 17 St & 8 Ave,2015,25859,40.74177603,-74.00149746,10011
340,527,E 33 St & 2 Ave,2015,26217,40.744023,-73.976056,10016
341,340,Madison St & Clinton St,2015,8929,40.71269042,-73.98776323,10002
342,223,W 13 St & 7 Ave,2015,20307,40.73781509,-73.99994661,10014
343,538,E 48 St & Madison Ave,2014,1781,40.75666,-73.976684,10167
344,3115,India St & Manhattan Ave,2015,473,40.73232194,-73.9550858,11222
345,279,Peck Slip & Front Street,2014,9274,40.707873,-74.00167,10038
346,2001,Sands St & Navy St,2014,1010,40.699773,-73.979927,11201
347,507,E 25 St & 2 Ave,2015,25221,40.73912601,-73.97973776,10010
348,314,Cadman Plaza West & Montague St,2014,8576,40.69383,-73.990539,11201
349,153,E 40 St & 5 Ave,2015,16962,40.752062307,-73.9816324043,10165
350,376,John St & William St,2015,10450,40.70862144,-74.00722156,10038
351,517,E 41 St & Madison Ave,2014,18684,40.752141,-73.979782,10165
352,491,E 24 St & Park Ave S,2014,32233,40.74096374,-73.98602213,10010
353,3278,Monmouth and 6th,2017,5236,40.72568548362901,-74.04879033565521,07302
354,519,E 42 St & Vanderbilt Ave,2014,56308,40.752416,-73.97837,10165
355,419,Carlton Ave & Park Ave,2014,2986,40.69580705,-73.97355569,11201
356,2005,Railroad Ave & Kay Ave,2014,843,40.70531194,-73.97100056,11211
357,431,Hanover Pl & Livingston St,2014,1975,40.68864636,-73.98263429,11217
358,250,Lafayette St & Jersey St,2015,36966,40.72456089,-73.99565293,10012
359,3111,Norman Ave & Leonard St,2015,381,40.7258483,-73.95064893,11222
360,359,E 47 St & Park Ave,2014,29563,40.75510267,-73.97498696,10167
361,443,Bedford Ave & S 9th St,2014,2304,40.70853074,-73.96408963,11211
362,510,W 51 St & 6 Ave,2014,26845,40.7606597,-73.98042047,10020
363,477,W 41 St & 8 Ave,2014,51922,40.75640548,-73.9900262,10018
364,465,Broadway & W 41 St,2014,43369,40.75513557,-73.98658032,10018
